company,date,current volume,mean volume,action
GODREJCP,2020-02-03,818578.0,2308742.7678571427,False
GODREJIND,2020-02-03,2612837.0,416172.1964285714,True
GODREJPROP,2020-02-03,1256969.0,496782.9285714286,True
GPPL,2020-02-03,341365.0,469905.48214285716,False
GRANULES,2020-02-03,4913450.0,2088013.1607142857,True
GRAPHITE,2020-02-03,570230.0,696440.2678571428,False
GRASIM,2020-02-03,4735284.0,2889917.5,True
GREAVESCOT,2020-02-03,192117.0,210625.05357142858,False
GREENLAM,2020-02-03,1283.0,7176.142857142857,False
GREENPLY,2020-02-03,84046.0,125055.25,False
GRINDWELL,2020-02-03,9884.0,33504.482142857145,False
GSFC,2020-02-03,379236.0,660540.8035714285,False
GSKCONS,2020-02-28,0.0,26143.214285714286,False
GSPL,2020-02-03,803553.0,660976.5178571428,True
GUJALKALI,2020-02-03,36371.0,124868.875,False
GUJGASLTD,2020-02-03,614106.0,857231.875,False
GULFOILLUB,2020-02-03,7282.0,9674.19642857143,False
HATHWAY,2020-02-03,960484.0,1494058.892857143,False
HATSUN,2020-02-03,7257.0,18878.678571428572,False
HAVELLS,2020-02-03,2029075.0,2304327.6428571427,False
HCLTECH,2020-02-03,4828798.0,6270113.767857143,False
HDFC,2020-02-03,12428419.0,7975904.660714285,True
HDFCBANK,2020-02-03,28012877.0,21246498.285714287,True
HDFCLIFE,2020-02-03,1859456.0,4752053.875,False
HEG,2020-02-03,276076.0,216634.82142857142,True
HEIDELBERG,2020-02-03,772701.0,507553.0,True
HERITGFOOD,2020-02-03,36441.0,38934.375,False
HEROMOTOCO,2020-02-03,1403554.0,1671133.232142857,False
HESTERBIO,2020-02-03,2645.0,16171.17857142857,False
HEXAWARE,2020-02-03,336357.0,556769.3392857143,False
HFCL,2020-02-03,1184275.0,1998869.5,False
HGS,2020-02-03,5723.0,8335.857142857143,False
HIKAL,2020-02-03,68576.0,203532.60714285713,False
HIMATSEIDE,2020-02-03,104982.0,123709.32142857143,False
HINDALCO,2020-02-03,32423355.0,17243102.25,True
HINDPETRO,2020-02-03,3837414.0,7567264.732142857,False
HINDUNILVR,2020-02-03,4261645.0,8496808.589285715,False
HINDZINC,2020-02-03,479648.0,803846.3214285715,False
HNDFDS,2020-02-03,2619.0,7400.535714285715,False
HONAUT,2020-02-03,7707.0,4418.107142857143,True
HONDAPOWER,2020-02-03,6008.0,4805.839285714285,True
HSCL,2020-02-03,998297.0,955221.4107142857,True
HUDCO,2020-02-03,2263739.0,1593467.25,True
IBREALEST,2020-02-03,1870002.0,1853588.392857143,True
IBULHSGFIN,2020-02-03,24535758.0,34106704.28571428,False
IBVENTURES,2020-02-03,2095586.0,927985.1964285715,True
ICICIBANK,2020-02-03,80541990.0,50413209.553571425,True
ICICIGI,2020-02-03,749065.0,729201.7142857143,True
ICICIPRULI,2020-02-03,4320500.0,3618834.910714286,True
ICRA,2020-02-03,676.0,4273.178571428572,False
IEX,2020-02-03,359739.0,799198.8392857143,False
IFBIND,2020-02-03,161515.0,52881.017857142855,True
IGARASHI,2020-02-03,37967.0,110752.26785714286,False
IGL,2020-02-03,3012687.0,3207803.0178571427,False
IIFL,2020-02-03,191694.0,239853.76785714287,False
INDHOTEL,2020-02-03,1159962.0,3051730.75,False
INDIACEM,2020-02-03,5749477.0,4144671.6071428573,True
INDIAGLYCO,2020-02-03,848642.0,287739.83928571426,True
INDIANB,2020-02-03,2656880.0,1822209.4285714286,True
INDIANHUME,2020-02-03,18318.0,80027.10714285714,False
INDUSINDBK,2020-02-03,34413192.0,26584739.07142857,True
INFIBEAM,2020-02-03,242571.0,1730494.7142857143,False
INFRATEL,2020-02-03,6741735.0,9163431.07142857,False
INFY,2020-06-01,9440091.0,9816876.520833334,False
INGERRAND,2020-02-03,2618.0,24981.910714285714,False
INOXLEISUR,2020-02-03,304078.0,786316.9107142857,False
INSECTICID,2020-02-03,89272.0,17157.875,True
IOC,2020-02-03,14313444.0,16384073.625,False
IOLCP,2020-02-03,1092987.0,1307876.0535714286,False
