company,ema50,ema200,ratio,outcome,action,longName,price,regularMarketVolume,marketCap,bookValue,priceToBook,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh
INFY,893.4059987104586,785.5935005902841,-0.12067581623113227,close by,buy,Infosys Limited,919.15,8648120,3898648297472,2.062,445.75656,11956221,7995014,409.90002,0.8049092,509.25 - 986.45,-67.29999,-0.06822443,509.25,986.45
INGERRAND,631.4881555940769,629.4073136178092,-0.0032951401508238163,close by,buy,Ingersoll-Rand (India) Limited,623.9,9814,19688974336,120.566,5.1747594,32440,36226,33.200012,0.056204524,590.7 - 729.85,-105.94995,-0.14516675,590.7,729.85
INOXLEISUR,262.8295057300118,280.2263734217173,0.06619069515572654,close by,sell,INOX Leisure Limited,289.95,1138259,29773228032,63.286,4.581582,874916,1071332,131.55002,0.83049256,158.4 - 511.8,-221.84998,-0.43347007,158.4,511.8
INTELLECT,160.78018812086592,139.30470113623392,-0.13357048051522294,close by,buy,Intellect Design Arena Limited,187.05,287416,24757190656,78.965,2.368771,295922,733927,143.25,3.270548,43.8 - 229.0,-41.949997,-0.18318775,43.8,229.0
IOB,10.481720885792022,10.037978724349669,-0.04233485763238037,close by,buy,Indian Overseas Bank,10.25,1842369,168479244288,9.488,1.080312,6737301,3422928,4.2,0.6942148,6.05 - 13.75,-3.5,-0.25454545,6.05,13.75
IOC,87.1165342262809,98.70093904140624,0.13297596051095673,close by,sell,Indian Oil Corporation Limited,83.9,12698388,789848064000,103.947,0.80714214,24254983,26371473,12.75,0.17919888,71.15 - 156.0,-72.1,-0.46217948,71.15,156.0
IPCALAB,1878.934475220188,1539.9897285231611,-0.18039199938428224,close by,buy,Ipca Laboratories Limited,2022.75,117021,255353978880,287.093,7.0456266,355805,289150,1178.1,1.3947788,844.65 - 2174.9,-152.1499,-0.0699572,844.65,2174.9
IRB,114.66307292777628,96.22067499384625,-0.160839906545558,close by,buy,IRB Infrastructure Developers Limited,124.8,4816717,43879305216,190.152,0.6563171,4120860,966954,79.200005,1.7368423,45.6 - 139.0,-14.199997,-0.10215825,45.6,139.0
IRCON,96.6121844140717,198.21079592947282,1.051612818109546,far away,sell,Ircon International Limited,87.7,501080,41241624576,443.519,0.19773673,1632437,790560,17.699997,0.2528571,70.0 - 599.0,-511.3,-0.8535893,70.0,599.0
IRCTC,1361.585873345219,1312.5694825663236,-0.03599948540775412,close by,buy,Indian Railway Catering & Tourism Corporation Limited,1365.2,317897,218359644160,82.989,16.450373,795521,386092,740.19995,1.18432,625.0 - 1994.0,-628.80005,-0.31534606,625.0,1994.0
ISEC,476.13201453284046,409.4594099253163,-0.14002966104461664,close by,buy,ICICI Securities Limited,484.05,383039,155714535424,43.642,11.09138,819365,2788030,280.44998,1.3774557,203.6 - 568.9,-84.85004,-0.14914754,203.6,568.9
ITC,194.29342425165976,205.24479539145364,0.05636511468143691,close by,sell,ITC Limited,186.7,41254713,2297287409664,53.146,3.5129642,29771177,42484766,52.09999,0.3870727,134.6 - 266.3,-79.59999,-0.29891098,134.6,266.3
ITDC,227.12279894448002,227.89761015729513,0.003411419797642205,close by,sell,India Tourism Development Corporation Limited,241.4,24101,20675330048,36.181,6.67201,71613,107500,136.7,1.3056352,104.7 - 416.6,-175.20001,-0.4205473,104.7,416.6
ITI,128.24852964165498,103.09753646658652,-0.1961113569515689,close by,buy,ITI Limited,135.3,1354375,125075243008,26.34,5.1366744,3361432,1401124,90.5,2.0200894,44.8 - 151.65,-16.34999,-0.10781399,44.8,151.65
J&KBANK,17.13692012047928,20.97496581813019,0.22396356350312305,close by,sell,The Jammu and Kashmir Bank Limited,17.6,1149270,12521062400,,,4141187,4285998,6.6000004,0.6,11.0 - 40.95,-23.35,-0.5702076,11.0,40.95
JAGRAN,40.26945469507532,50.57415208834008,0.2558936412547189,close by,sell,Jagran Prakashan Limited,39.6,158766,11094176768,66.713,0.59358746,769330,1471107,7.5,0.23364487,32.1 - 78.25,-38.65,-0.49392974,32.1,78.25
JAICORPLTD,90.5200801470599,86.69991998095036,-0.04220235068178543,close by,buy,Jai Corp Limited,89.7,973875,16006874112,72.08,1.2444506,2908534,2231900,46.699997,1.0860465,43.0 - 122.0,-32.300003,-0.26475412,43.0,122.0
JAMNAAUTO,36.557463808254084,35.722968528603005,-0.02282694674959,close by,buy,Jamna Auto Industries Limited,47.2,11490217,18891847680,13.113,3.5994816,2223479,1309255,26.2,1.247619,21.0 - 51.65,-4.450001,-0.08615684,21.0,51.65
JBCHEPHARM,744.6594553431363,612.0578743405,-0.17807009640605984,close by,buy,J. B. Chemicals & Pharmaceuticals Limited,784.45,574903,60655558656,185.747,4.223218,311101,266210,469.40002,1.4899224,315.05 - 828.85,-44.399963,-0.053568155,315.05,828.85
