company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly
ADANIGREEN,2019-05-02,41.79999923706055,2020-04-17,198.9499969482422,375.9569391854198,2020-04-17,198.9499969482422,2020-06-01,260.75,19.762334637157196
GMMPFAUDLR,2019-05-02,1190.800048828125,2020-04-17,3080.85009765625,158.7210254725919,2020-04-17,3080.85009765625,2020-06-01,3847.199951171875,15.962114863437327
ABBOTINDIA,2019-05-02,7420.60009765625,2020-04-17,16918.5,127.99369023192075,2020-04-17,16918.5,2020-06-01,16825.599609375,-0.36640607994042895
NAVINFLUOR,2019-05-02,675.0999755859375,2020-04-17,1419.5999755859375,110.27996251278611,2020-04-17,1419.5999755859375,2020-06-01,1573.0999755859375,7.084569253780182
IRCTC,2019-10-14,727.75,2020-04-17,1356.6500244140625,86.41704217300756,2020-04-17,1356.6500244140625,2020-06-01,1415.75,2.883523396182186
ALKYLAMINE,2019-05-02,842.5499877929688,2020-04-17,1533.5999755859375,82.01887102308918,2020-04-17,1533.5999755859375,2020-06-01,2015.5,19.981367171086738
DEEPAKNTR,2019-05-02,266.79998779296875,2020-04-17,469.6000061035156,76.0120043438366,2020-04-17,469.6000061035156,2020-06-01,504.3999938964844,4.881281660871384
DMART,2019-05-02,1265.199951171875,2020-04-17,2212.10009765625,74.84193669208736,2020-04-17,2212.10009765625,2020-06-01,2305.5,2.7953732388153796
MIDHANI,2019-05-02,130.9499969482422,2020-04-17,226.10000610351562,72.66132979971076,2020-04-17,226.10000610351562,2020-06-01,206.1999969482422,-5.95723556087524
INDIAMART,2019-07-04,1301.949951171875,2020-04-17,2238.10009765625,71.90369688494964,2020-04-17,2238.10009765625,2020-06-01,2545.0,8.94455275393129
DIXON,2019-05-02,2368.60009765625,2020-04-17,3896.800048828125,64.51912050008113,2020-04-17,3896.800048828125,2020-06-01,5051.5,18.888949652831567
NESTLEIND,2019-05-02,10589.7001953125,2020-04-17,17324.30078125,63.59576250249796,2020-04-17,17324.30078125,2020-06-01,17183.400390625,-0.5429447690281641
BERGEPAINT,2019-05-02,315.3500061035156,2020-04-17,515.75,63.54843507778523,2020-04-17,515.75,2020-06-01,490.04998779296875,-3.35024353483947
BHARATRAS,2019-05-02,4100.7998046875,2020-04-17,6587.14990234375,60.63085778569777,2020-04-17,6587.14990234375,2020-06-01,6822.35009765625,2.366448674389887
GUJGASLTD,2019-05-02,160.4499969482422,2020-04-17,257.5,60.48613580408113,2020-04-17,257.5,2020-06-01,245.3000030517578,-3.1840569430390153
ISEC,2019-05-02,215.5,2020-04-17,339.8999938964844,57.72621526518997,2020-04-17,339.8999938964844,2020-06-01,388.29998779296875,9.28087073220436
HDFCAMC,2019-05-02,1697.550048828125,2020-04-17,2676.949951171875,57.69490584503605,2020-04-17,2676.949951171875,2020-06-01,2654.39990234375,-0.562377028917449
TATACONSUM,2019-05-02,206.3000030517578,2020-04-17,324.5,57.2951988365155,2020-04-17,324.5,2020-06-01,362.8500061035156,7.731231003558969
JBCHEPHARM,2019-05-02,343.0,2020-04-17,536.8499755859375,56.51602786762027,2020-04-17,536.8499755859375,2020-06-01,687.5499877929688,17.932696133919322
ALKEM,2019-05-02,1720.9000244140625,2020-04-17,2678.550048828125,55.64820796258203,2020-04-17,2678.550048828125,2020-06-01,2282.050048828125,-10.129546567590776
BHARTIARTL,2019-05-02,324.20001220703125,2020-04-17,502.45001220703125,54.98149083540784,2020-04-17,502.45001220703125,2020-06-01,559.0499877929688,7.375497111150087
IPCALAB,2019-05-02,973.0,2020-04-17,1498.050048828125,53.96197829682683,2020-04-17,1498.050048828125,2020-06-01,1526.949951171875,1.2820118593547036
AFFLE,2019-08-08,873.6500244140625,2020-04-17,1344.4000244140625,53.883132472378904,2020-04-17,1344.4000244140625,2020-06-01,1538.300048828125,9.39774283091177
NAM-INDIA,2019-05-02,192.4499969482422,2020-04-17,294.6000061035156,53.0787273448208,2020-04-17,294.6000061035156,2020-06-01,270.04998779296875,-5.635725127031421
GRANULES,2019-05-02,111.19999694824219,2020-04-17,166.5500030517578,49.775186710911655,2020-04-17,166.5500030517578,2020-06-01,171.3000030517578,1.8924059355879486
IGL,2019-05-02,309.20001220703125,2020-04-17,460.25,48.85186993195527,2020-04-17,460.25,2020-06-01,470.54998779296875,1.486430932845062
FINEORG,2019-05-02,1428.1500244140625,2020-04-17,2091.699951171875,46.46220042814142,2020-04-17,2091.699951171875,2020-06-01,1949.5,-4.585165316499573
RALLIS,2019-05-02,145.9499969482422,2020-04-17,212.10000610351562,45.32374822777969,2020-04-17,212.10000610351562,2020-06-01,215.85000610351562,1.1752430071385822
TIMKEN,2019-05-02,564.2000122070312,2020-04-17,818.2000122070312,45.01949565835805,2020-04-17,818.2000122070312,2020-06-01,889.4500122070312,5.7242734197802125
AMBER,2019-05-02,804.7000122070312,2020-04-17,1154.5999755859375,43.48203778688211,2020-04-17,1154.5999755859375,2020-06-01,1338.550048828125,10.35754911306297
LALPATHLAB,2019-05-02,1073.0999755859375,2020-04-17,1521.6500244140625,41.79946501100294,2020-04-17,1521.6500244140625,2020-06-01,1522.5,0.037235740189922595
SANOFI,2019-05-02,5599.5498046875,2020-04-17,7933.64990234375,41.683709924364386,2020-04-17,7933.64990234375,2020-06-01,7773.60009765625,-1.3494656105240477
NH,2019-05-02,202.75,2020-04-17,284.29998779296875,40.221942191353264,2020-04-17,284.29998779296875,2020-06-01,295.54998779296875,2.620959225039843
