company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly,ema50,ema200,action
ADANIGREEN,07-01-2019,41.099998474121094,03-01-2020,192.60000610351562,368.61317093427044,03-12-2019,106.69999694824219,03-01-2020,192.60000610351562,36.37210060006435,383.22353136524055,262.1379566225949,buy
AAVAS,07-01-2019,840.6500244140625,03-01-2020,2039.9000244140625,142.65746329287072,03-12-2019,1723.25,03-01-2020,2039.9000244140625,10.910661593168003,1377.5775782937326,1410.6345113408374,sell
NAM-INDIA,07-01-2019,156.25,03-01-2020,354.3500061035156,126.78400390624999,03-12-2019,377.6000061035156,03-01-2020,354.3500061035156,-0.11071723275120071,277.85146579597784,284.113543242076,sell
GRSE,07-01-2019,95.44999694824219,03-01-2020,205.0500030517578,114.82452551878683,03-12-2019,221.60000610351562,03-01-2020,205.0500030517578,1.16563834093093,203.4861132584256,179.9288601483374,buy
HDFCAMC,07-01-2019,1507.3499755859375,03-01-2020,3190.300048828125,111.64959037386062,03-12-2019,3707.800048828125,03-01-2020,3190.300048828125,-5.2953647473174215,2449.3602665063154,2554.5806785459627,sell
CREDITACC,07-01-2019,382.54998779296875,03-01-2020,761.9000244140625,99.1635207753276,03-12-2019,750.4500122070312,03-01-2020,761.9000244140625,-4.219419050977291,590.9739274675433,580.1204433242475,buy
DIXON,07-01-2019,2007.9000244140625,03-01-2020,3952.300048828125,96.83749194542042,03-12-2019,3177.0,03-01-2020,3952.300048828125,14.013691111664484,7343.62803364696,5307.2991985506915,buy
GUJGASLTD,07-01-2019,131.39999389648438,03-01-2020,250.64999389648438,90.7534288730211,03-12-2019,194.60000610351562,03-01-2020,250.64999389648438,12.084690116120832,304.9341022223154,266.3987751865248,buy
MANAPPURAM,07-01-2019,94.44999694824219,03-01-2020,176.9499969482422,87.34780589268765,03-12-2019,160.5500030517578,03-01-2020,176.9499969482422,10.125138154790282,155.55433087487796,146.2130353780072,buy
JKCEMENT,07-01-2019,713.7000122070312,03-01-2020,1280.050048828125,79.35407411157588,03-12-2019,1162.800048828125,03-01-2020,1280.050048828125,7.953090196032608,1455.9521252057577,1278.4203652013769,buy
AFFLE,08-08-2019,873.6500244140625,03-01-2020,1562.449951171875,78.84163080288073,03-12-2019,1689.1500244140625,03-01-2020,1562.449951171875,3.965870025338969,2071.9474737780256,1676.0565505377367,buy
ASTRAZEN,07-01-2019,1468.449951171875,03-01-2020,2568.5,74.91232833303214,03-12-2019,2626.699951171875,03-01-2020,2568.5,-5.755466507315276,3409.0292219446173,2962.806215440545,buy
ABBOTINDIA,07-01-2019,7574.2001953125,03-01-2020,13248.2001953125,74.91220001699335,03-12-2019,12573.400390625,03-01-2020,13248.2001953125,2.5987419795916678,16277.378222076723,14850.942622884422,buy
DEEPAKNTR,07-01-2019,221.25,03-01-2020,386.45001220703125,74.66667218396891,03-12-2019,345.95001220703125,03-01-2020,386.45001220703125,9.6474161762109,621.9947232611951,492.8162294051478,buy
ADANITRANS,07-01-2019,199.8000030517578,03-01-2020,346.54998779296875,73.44843968956079,03-12-2019,263.3500061035156,03-01-2020,346.54998779296875,7.226242744493838,249.36314020819023,241.81367017647023,buy
SRF,07-01-2019,1997.8499755859375,03-01-2020,3452.64990234375,72.8182768744256,03-12-2019,3124.050048828125,03-01-2020,3452.64990234375,5.4379621733504635,4005.244134539343,3591.183018927754,buy
ADANIGAS,07-01-2019,101.6500015258789,03-01-2020,174.5,71.66748389627355,03-12-2019,146.25,03-01-2020,174.5,8.707591363281452,160.69570833251848,143.97983943364028,buy
BALRAMCHIN,07-01-2019,108.0,03-01-2020,184.6999969482422,71.01851569281683,03-12-2019,142.39999389648438,03-01-2020,184.6999969482422,13.261480038836314,140.09945484313891,133.5740417996148,buy
MCX,07-01-2019,724.1500244140625,03-01-2020,1237.550048828125,70.89691460405241,03-12-2019,1143.5,03-01-2020,1237.550048828125,4.008199604846752,1545.4259507085007,1290.0216985316927,buy
NH,07-01-2019,196.3000030517578,03-01-2020,328.3500061035156,67.26948599024757,03-12-2019,299.1499938964844,03-01-2020,328.3500061035156,7.392106039657764,310.7904282593517,290.74652266498947,buy
PIIND,07-01-2019,864.4000244140625,03-01-2020,1444.300048828125,67.08699769035181,03-12-2019,1403.25,03-01-2020,1444.300048828125,-1.6862613964979123,1825.3963724127757,1570.207925601365,buy
RELAXO,07-01-2019,376.8500061035156,03-01-2020,629.4000244140625,67.01605790638484,03-12-2019,571.9000244140625,03-01-2020,629.4000244140625,6.267624076884615,637.5466177447984,615.7048473849558,buy
ESSELPACK,07-01-2019,107.0,03-01-2020,178.14999389648438,66.49532139858351,03-12-2019,155.0500030517578,03-01-2020,178.14999389648438,14.381750907676881,245.82261366251515,191.60426863006128,buy
BAJFINANCE,07-01-2019,2553.60009765625,03-01-2020,4193.4501953125,64.21718495238704,03-12-2019,4078.300048828125,03-01-2020,4193.4501953125,4.090851302022203,3300.6281076158702,3211.4929059160654,buy
WHIRLPOOL,07-01-2019,1428.5999755859375,03-01-2020,2320.60009765625,62.438760836773795,03-12-2019,2190.10009765625,03-01-2020,2320.60009765625,3.0803057051526084,2120.1352442965535,2047.6233755432272,buy
LALPATHLAB,07-01-2019,948.7000122070312,03-01-2020,1540.199951171875,62.34846962727381,03-12-2019,1575.199951171875,03-01-2020,1540.199951171875,-4.352169562781549,1808.2187736310475,1618.73963973389,buy
