company,ema50,ema200,action
VOLTAS,607.0307156102601,592.0864299191397,buy
VRLLOG,159.59459833315785,190.42183232071244,sell
VSTIND,3342.9657230110774,3424.3965986818366,sell
VTL,729.5013687879097,785.5873638875308,sell
WABCOINDIA,6898.865872197161,6658.783131989904,buy
WELCORP,98.98166931489446,104.92479602817988,sell
WELSPUNIND,44.035541218538384,40.714480775168326,buy
WESTLIFE,351.36361212419877,344.8241422645263,buy
WHIRLPOOL,2118.5387236555966,2046.501499920546,buy
WIPRO,260.9292927613045,238.69916316670833,buy
WOCKPHARMA,294.6370416283072,285.80520333806754,buy
ZEEL,178.5081776306892,209.2052616104358,sell
ZENSARTECH,157.96336738169742,150.02844336214093,buy
