company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly
GRSE,2018-12-03,96.44999694824219,2019-11-20,228.39999389648438,136.80663672706004,2019-11-20,228.39999389648438,2020-01-01,198.60000610351562,-9.503697451941873
HDFCAMC,2018-12-03,1559.5999755859375,2019-11-20,3626.050048828125,132.4987243902609,2019-11-20,3626.050048828125,2020-01-01,3177.39990234375,-9.002973192747065
AAVAS,2018-12-03,779.1500244140625,2019-11-20,1695.300048828125,117.58326326217174,2019-11-20,1695.300048828125,2020-01-01,1969.199951171875,11.290849748978783
ADANIGREEN,2018-12-03,46.04999923706055,2019-11-20,98.75,114.4408287427876,2019-11-20,98.75,2020-01-01,174.75,50.33399550454802
CREDITACC,2018-12-03,394.0,2019-11-20,788.3499755859375,100.08882629084708,2019-11-20,788.3499755859375,2020-01-01,764.4000244140625,-2.179531523688971
NAM-INDIA,2018-12-03,182.0500030517578,2019-11-20,361.54998779296875,98.59927587596803,2019-11-20,361.54998779296875,2020-01-01,354.75,-1.3470587691534086
ASTRAZEN,2018-12-03,1363.300048828125,2019-11-20,2675.550048828125,96.25540622022224,2019-11-20,2675.550048828125,2020-01-01,2618.800048828125,-1.519675223212158
MANAPPURAM,2018-12-03,85.1500015258789,2019-11-20,166.25,95.24368411135387,2019-11-20,166.25,2020-01-01,177.25,4.682649748494105
AFFLE,2019-08-08,873.6500244140625,2019-11-20,1633.75,87.00279910090079,2019-11-20,1633.75,2020-01-01,1611.4000244140625,-0.9790758538927302
FINEORG,2018-12-03,1131.699951171875,2019-11-20,2048.800048828125,81.03738952242536,2019-11-20,2048.800048828125,2020-01-01,1898.75,-5.2878129962226295
PIIND,2018-12-03,812.1500244140625,2019-11-20,1449.050048828125,78.42147451433783,2019-11-20,1449.050048828125,2020-01-01,1451.199951171875,0.10595350081283872
LALPATHLAB,2018-12-03,899.9000244140625,2019-11-20,1594.949951171875,77.23634936118256,2019-11-20,1594.949951171875,2020-01-01,1533.4000244140625,-2.771917972811644
MAHSCOOTER,2018-12-03,2761.39990234375,2019-11-20,4811.0498046875,74.225029869962,2019-11-20,4811.0498046875,2020-01-01,4440.7998046875,-5.5595382698965246
BPCL,2018-12-03,323.95001220703125,2019-11-20,544.5999755859375,68.1123491478347,2019-11-20,544.5999755859375,2020-01-01,491.6499938964844,-7.045525415379894
JKCEMENT,2018-12-03,712.0499877929688,2019-11-20,1178.9000244140625,65.56422226311899,2019-11-20,1178.9000244140625,2020-01-01,1176.5,-0.145457810275329
INOXLEISUR,2018-12-03,217.64999389648438,2019-11-20,360.20001220703125,65.49507112706124,2019-11-20,360.20001220703125,2020-01-01,380.5,3.9938873757801474
SBILIFE,2018-12-03,569.3499755859375,2019-11-20,939.7000122070312,65.04787081793653,2019-11-20,939.7000122070312,2020-01-01,976.4000244140625,2.7743356079776404
BAJFINANCE,2018-12-03,2508.64990234375,2019-11-20,4138.5498046875,64.9711982856192,2019-11-20,4138.5498046875,2020-01-01,4231.2998046875,1.5957257576524997
SIEMENS,2018-12-03,942.2000122070312,2019-11-20,1543.199951171875,63.78687446172364,2019-11-20,1543.199951171875,2020-01-01,1491.25,-2.4162899586439135
WHIRLPOOL,2018-12-03,1399.0,2019-11-20,2272.5,62.43745532523231,2019-11-20,2272.5,2020-01-01,2333.25,1.9022667512178293
ABBOTINDIA,2018-12-03,7775.5498046875,2019-11-20,12579.0,61.77634142883033,2019-11-20,12579.0,2020-01-01,13140.0,3.1656638726681896
SCI,2018-12-03,42.5,2019-11-20,68.5,61.1764705882353,2019-11-20,68.5,2020-01-01,61.75,-7.142101597352091
IGL,2018-12-03,261.95001220703125,2019-11-20,421.8999938964844,61.061261399383795,2019-11-20,421.8999938964844,2020-01-01,425.25,0.5665220303592955
NAUKRI,2018-12-03,1611.199951171875,2019-11-20,2591.199951171875,60.8242322305941,2019-11-20,2591.199951171875,2020-01-01,2565.60009765625,-0.7066813643045511
TIMKEN,2018-12-03,536.0999755859375,2019-11-20,858.2000122070312,60.082083807045564,2019-11-20,858.2000122070312,2020-01-01,927.1500244140625,5.6750588514566935
ESSELPACK,2018-12-03,94.25,2019-11-20,149.60000610351562,58.726796926807026,2019-11-20,149.60000610351562,2020-01-01,176.5,12.536931784241157
MCX,2018-12-03,730.0999755859375,2019-11-20,1157.25,58.50568945318149,2019-11-20,1157.25,2020-01-01,1181.6500244140625,1.5015391203069495
BATAINDIA,2018-12-03,1063.800048828125,2019-11-20,1683.949951171875,58.295720424801914,2019-11-20,1683.949951171875,2020-01-01,1745.300048828125,2.5889672827928756
ICICIGI,2018-12-03,858.2999877929688,2019-11-20,1357.0,58.10322955839573,2019-11-20,1357.0,2020-01-01,1385.449951171875,1.4930781555134276
INDIAMART,2019-07-04,1301.949951171875,2019-11-20,2052.85009765625,57.67503933684206,2019-11-20,2052.85009765625,2020-01-01,2058.64990234375,0.20172187108971062
BRIGADE,2018-12-03,132.86700439453125,2019-11-20,209.0,57.300152097507784,2019-11-20,209.0,2020-01-01,214.8000030517578,1.9744628827439659
ICICIPRULI,2018-12-03,321.6499938964844,2019-11-20,503.29998779296875,56.47442790095132,2019-11-20,503.29998779296875,2020-01-01,480.95001220703125,-3.1924341731803585
MUTHOOTFIN,2018-12-03,448.29998779296875,2019-11-20,696.4000244140625,55.34241431558322,2019-11-20,696.4000244140625,2020-01-01,760.5999755859375,6.501415061073201
SPANDANA,2019-08-19,847.7999877929688,2019-11-20,1310.199951171875,54.5411618349567,2019-11-20,1310.199951171875,2020-01-01,1185.550048828125,-6.891920866643087
AVANTIFEED,2018-12-03,342.6000061035156,2019-11-20,524.0499877929688,52.962632357522054,2019-11-20,524.0499877929688,2020-01-01,607.4500122070312,11.125246069866002
CGCL,2018-12-03,131.0500030517578,2019-11-20,199.25,52.04120210612035,2019-11-20,199.25,2020-01-01,203.60000610351562,1.5546027949811414
BAJAJFINSV,2018-12-03,5999.2998046875,2019-11-20,9079.25,51.338494417398636,2019-11-20,9079.25,2020-01-01,9378.4501953125,2.3429496684133078
RELAXO,2018-12-03,376.8500061035156,2019-11-20,570.25,51.32015145658775,2019-11-20,570.25,2020-01-01,615.1500244140625,5.562885078961433
DIXON,2018-12-03,2051.199951171875,2019-11-20,3103.550048828125,51.30412064679653,2019-11-20,3103.550048828125,2020-01-01,3786.550048828125,15.266613630731074
TRENT,2018-12-03,328.54998779296875,2019-11-20,496.8500061035156,51.22508737288367,2019-11-20,496.8500061035156,2020-01-01,529.6500244140625,4.67216625368887
