company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly,ema50,ema200,action
ABBOTINDIA,03-09-2019,9445.900390625,01-09-2020,16237.5498046875,71.9004979218622,2020-07-31,14937.5,01-09-2020,16237.5498046875,3.2830259762043568,16247.502924277689,14800.315441204726,buy
AARTIIND,03-09-2019,791.6500244140625,01-09-2020,1046.8499755859375,32.23646097412307,2020-07-31,904.1500244140625,01-09-2020,1046.8499755859375,4.13937794379331,1018.9258814726285,936.9363149978655,buy
3MINDIA,03-09-2019,20098.900390625,01-09-2020,20035.25,-0.316685934991201,2020-07-31,21242.80078125,01-09-2020,20035.25,-3.644369644190204,20423.440630276342,20228.93408469385,buy
AAVAS,03-09-2019,1465.800048828125,01-09-2020,1440.0,-1.7601342590179092,2020-07-31,1285.0999755859375,01-09-2020,1440.0,3.6886461938971493,1373.546548507076,1410.309960846535,sell
ABB,03-09-2019,1329.75,01-09-2020,943.5499877929688,-29.043054123484204,2020-07-31,925.6500244140625,01-09-2020,943.5499877929688,3.945211932941395,922.979189946376,1036.8282979273922,sell
