company,current date,start date,current volume,mean volume,action,close price
CSBBANK,08-25-2020,27-05-2020,501497.0,353183.72307692305,True,228.39999389648438
CUB,08-25-2020,27-05-2020,3571503.0,2697224.3384615383,True,131.10000610351562
CUMMINSIND,08-25-2020,27-05-2020,1548874.0,1454650.6923076923,True,473.54998779296875
CYIENT,08-25-2020,27-05-2020,323890.0,1006314.8461538461,False,379.45001220703125
DABUR,08-25-2020,27-05-2020,2055007.0,3802375.4923076923,False,491.95001220703125
DALBHARAT,08-25-2020,27-05-2020,275449.0,201423.43076923076,True,752.75
DBCORP,08-25-2020,27-05-2020,171756.0,419242.6153846154,False,78.94999694824219
DBL,08-25-2020,27-05-2020,133378.0,592925.6307692308,False,388.3999938964844
DCAL,08-25-2020,27-05-2020,245925.0,930274.7846153846,False,186.85000610351562
DCBBANK,08-25-2020,27-05-2020,17524479.0,3587300.7538461536,True,92.30000305175781
DCMSHRIRAM,08-25-2020,27-05-2020,166109.0,168869.2,False,366.54998779296875
DEEPAKNTR,08-25-2020,27-05-2020,7369551.0,1370555.1692307692,True,744.3499755859375
DELTACORP,08-25-2020,27-05-2020,1565736.0,2177098.5846153847,False,115.3499984741211
DHANUKA,08-25-2020,27-05-2020,273455.0,180351.55384615384,True,851.8499755859375
DISHTV,08-25-2020,27-05-2020,14124721.0,6069384.907692308,True,9.949999809265137
DIVISLAB,08-25-2020,27-05-2020,887224.0,1305307.0615384616,False,3245.89990234375
DIXON,08-25-2020,27-05-2020,44024.0,76786.86153846154,False,8218.0
DLF,08-25-2020,27-05-2020,14661695.0,11502969.584615385,True,156.39999389648438
DMART,08-25-2020,27-05-2020,1035895.0,718059.8153846153,True,2341.14990234375
DRREDDY,08-25-2020,27-05-2020,601751.0,1107751.8769230768,False,4427.7001953125
ECLERX,08-25-2020,27-05-2020,261529.0,281661.8615384615,False,764.5999755859375
EDELWEISS,08-25-2020,27-05-2020,4642463.0,2336385.184615385,True,85.30000305175781
EICHERMOT,08-25-2020,27-05-2020,4756609.0,957120.4461538461,True,2217.25
EIDPARRY,08-25-2020,27-05-2020,354600.0,889598.4,False,294.95001220703125
EIHOTEL,08-25-2020,27-05-2020,1554406.0,1486852.2,True,89.80000305175781
ELGIEQUIP,08-25-2020,27-05-2020,54365.0,152978.83076923076,False,224.64999389648438
EMAMILTD,08-25-2020,27-05-2020,1890861.0,1460589.3076923077,True,356.3999938964844
ENDURANCE,08-25-2020,27-05-2020,106835.0,118390.4,False,1067.9000244140625
ENGINERSIN,08-25-2020,27-05-2020,3393325.0,3351795.630769231,True,70.6500015258789
EQUITAS,08-25-2020,27-05-2020,8951866.0,16704115.830769232,False,55.650001525878906
ERIS,08-25-2020,27-05-2020,73774.0,206719.64615384614,False,537.7999877929688
ESABINDIA,08-25-2020,27-05-2020,15846.0,12241.584615384616,True,1485.0
ESCORTS,08-25-2020,27-05-2020,1518163.0,2455822.8,False,1118.0999755859375
ESSELPACK,08-25-2020,27-05-2020,305493.0,264581.26153846155,True,297.25
EXIDEIND,08-25-2020,27-05-2020,4642712.0,4120575.5384615385,True,171.0
FCONSUMER,08-25-2020,27-05-2020,13890332.0,15142094.615384616,False,10.399999618530273
FDC,08-25-2020,27-05-2020,355527.0,792893.0153846154,False,317.3500061035156
FEDERALBNK,08-25-2020,27-05-2020,39845896.0,38255971.307692304,True,56.400001525878906
FINCABLES,08-25-2020,27-05-2020,266237.0,186897.4923076923,True,299.8999938964844
FINEORG,08-25-2020,27-05-2020,393008.0,39585.64615384615,True,2689.25
FINPIPE,08-25-2020,27-05-2020,431126.0,62551.83076923077,True,502.75
FLUOROCHEM,08-25-2020,27-05-2020,159511.0,94726.16923076923,True,528.4500122070312
FORTIS,08-25-2020,27-05-2020,818247.0,2203947.846153846,False,136.0500030517578
