company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly,ema100,ema300,action
ABBOTINDIA,03-09-2019,9445.900390625,01-09-2020,16226.150390625,71.77981684762797,31-07-2020,14937.5,01-09-2020,16226.150390625,3.2299657258890058,16247.0558884321,14800.202014199129,buy
AARTIIND,03-09-2019,791.6500244140625,01-09-2020,1047.0,32.25541182480656,31-07-2020,904.1500244140625,01-09-2020,1047.0,4.150297915684975,1018.9278441717706,936.9368129961553,buy
3MINDIA,03-09-2019,20098.900390625,01-09-2020,20066.900390625,-0.1592126901376445,31-07-2020,21242.80078125,01-09-2020,20066.900390625,-3.533015388030003,20424.681822065555,20229.2490139538,buy
AAVAS,03-09-2019,1465.800048828125,01-09-2020,1440.0,-1.7601342590179092,31-07-2020,1285.0999755859375,01-09-2020,1440.0,3.6886461938971493,1373.546548507076,1410.309960846535,sell
ABB,03-09-2019,1329.75,01-09-2020,943.7000122070312,-29.031771971646457,31-07-2020,925.6500244140625,01-09-2020,943.7000122070312,3.9573048103518804,922.9850732567313,1036.8297907076317,sell
