company,ema_date,ema5,ema13,ema26,action,ratioCB,ratioCA,ratioBA
3MINDIA,19-09-2020,18927.072886127702,19240.746206366945,19690.76628727228,sell,2.311855112122145,3.9551327443023294,1.6436533587580509
AARTIIND,19-09-2020,1081.2411448115079,1070.3897270726,1059.8732561195754,sell,0.9873401580931285,1.995959551030099,1.0086690873147497
AAVAS,19-09-2020,1390.223447806875,1392.6343149681863,1395.0451751200476,buy,0.17296537571361445,0.3462306847880069,0.17326556847859384
ABB,19-09-2020,908.3916549277192,918.3155089534072,924.618085561977,sell,0.6839721873133576,1.7704685660778676,1.0865292721142248
ABBOTINDIA,19-09-2020,16553.340836054325,16588.779857319438,16531.60783604824,buy,0.34523763308874267,0.13137696069277519,0.21386091489430764
ABCAPITAL,19-09-2020,70.57043179047841,69.43212095950541,67.00173580818401,sell,3.5627302619755192,5.188107514167129,1.626128679247428
ABFRL,19-09-2020,134.64324297153166,135.64365260997465,135.21088927477143,buy,0.3195540545060298,0.4207060299685633,0.7402575964999459
ACC,19-09-2020,1398.2454949695814,1375.1737696465993,1371.7055614923963,sell,0.2525198770027453,1.9162745432104615,1.6637747936156337
ADANIGAS,19-09-2020,199.6650548274295,196.41884637474868,187.42040927350428,sell,4.68864868240079,6.326585051373761,1.6391519285828284
ADANIGREEN,19-09-2020,654.852146420335,602.8970634774385,536.9620352396221,sell,11.568978711847432,19.78330397386541,8.261596593985425
ADANIPORTS,19-09-2020,352.03010347166276,350.7085489427353,348.15718377052843,sell,0.7301445908075967,1.106252504637291,0.3761155087704293
ADANIPOWER,19-09-2020,37.25322725389602,37.49102979825056,37.53086981621802,buy,0.10620903542085294,0.7425176560243714,0.6363098751215894
ADANITRANS,19-09-2020,263.57419279562646,265.8808803519332,263.3205510330616,buy,0.9676199522631117,0.09627796273760143,0.8713440188961366
ADVENZYMES,19-09-2020,243.0035343603114,235.6579037197796,227.44322495980884,sell,3.5476824612337943,6.615120241444528,3.0692385290091835
AEGISCHEM,19-09-2020,237.54373464419373,225.50690758489566,215.6230331944635,sell,4.481162340951057,9.674452323271312,5.198924679751544
AFFLE,19-09-2020,3004.1452289810622,2881.7317470834405,2671.349913832888,sell,7.577120096441617,11.727446038590813,4.159566446781956
AIAENG,19-09-2020,1816.099783360528,1800.2012849244568,1776.690272141423,sell,1.3146058474481557,2.1938109719911765,0.8792685197314569
AJANTPHARM,19-09-2020,1555.2354997267773,1539.6330809341637,1545.8439177632981,sell,0.40258519715145274,0.6056976103553315,1.0082766609289502
AKZOINDIA,19-09-2020,2128.5803196888687,2106.6665148148613,2075.1630540222104,sell,1.5066831526284192,2.5414142071903574,1.034830116416351
ALKEM,19-09-2020,2860.3069561966126,2856.1000428797315,2829.0838525984827,sell,0.9504069095367862,1.0975903975470573,0.1471873264993511
ALKYLAMINE,19-09-2020,3321.617293477435,3274.1385401180187,3143.7345405531014,sell,4.063776205162377,5.50264726470239,1.4396758933247176
ALLCARGO,19-09-2020,120.70812405340514,119.34956870433402,115.35201539756649,sell,3.406498786162354,4.537918742483067,1.131857374337217
AMARAJABAT,19-09-2020,766.5078118330416,756.2967668674528,745.862099224484,sell,1.3892894924111325,2.7302464109618585,1.3410840902911596
AMBER,19-09-2020,1993.4736700113958,1927.921794889151,1854.4906680791353,sell,3.8827667542312345,7.223715695932248,3.3432932591973277
AMBUJACEM,19-09-2020,217.9087522397602,216.0356933301212,215.62137901208087,sell,0.19196456844422397,1.0552314880972238,0.8632712914111268
APLAPOLLO,19-09-2020,2690.3462076750984,2579.6345273590405,2442.9703872730493,sell,5.44196258351338,9.638050403729206,4.201597154997598
APLLTD,19-09-2020,953.1594654459208,947.0074032039975,957.0932154982581,sell,1.0593780806746114,0.4118565142275344,0.6475286295560347
APOLLOHOSP,19-09-2020,1740.663946458872,1693.0191229171994,1670.24496297642,sell,1.3542891286057446,4.129045093386002,2.775143924411759
APOLLOTYRE,19-09-2020,128.76451358929762,125.42040974742658,123.90080422318263,sell,1.2189941642295057,3.849922425621289,2.6312369734384604
ARVINDFASN,19-09-2020,135.24173417646654,138.18893984115763,140.00531056334734,sell,1.3058290885225925,3.4613097418602434,2.1557242436531703
ASAHIINDIA,19-09-2020,225.85746851477563,222.11478909221762,215.1790860472921,sell,3.1721016182597284,4.842402452597955,1.6709425010159762
ASHOKA,19-09-2020,70.90419828422387,70.43227471329601,69.15360639418093,sell,1.8320883300948583,2.499813407846254,0.667801539007044
ASHOKLEY,19-09-2020,77.23457343613033,73.43781911851613,69.32518017188853,sell,5.761491376714185,10.793404150222377,5.03974783069457
ASIANPAINT,19-09-2020,2018.246243866597,1998.393120827897,1952.9829341864033,sell,2.298449249540203,3.2868065152659254,0.9885439660431169
ASTERDM,19-09-2020,136.6103906864155,132.6047297450018,131.79770404253298,sell,0.6104525521253863,3.5860964988724446,2.975806808320897
ASTRAL,19-09-2020,1165.9142086152394,1179.1220021966753,1154.7491862633922,sell,2.088617062826403,0.9622267819182089,1.1264468770708673
ASTRAZEN,19-09-2020,4260.790141785129,4104.04458532134,3894.36515597762,sell,5.243027954946136,8.986339865484414,3.7477263228130804
ATUL,19-09-2020,6682.800992569405,6443.711883938658,6123.062857137104,sell,5.103123648003011,8.741903584194812,3.6428427089518127
AUBANK,19-09-2020,707.0377241856822,695.4690879647399,694.6135197865441,sell,0.12309601939122271,1.7727954015049314,1.6497083822651148
AUROPHARMA,19-09-2020,818.5280818229611,818.6109803327415,827.3369588053461,sell,1.0602982348486623,1.0704251885710119,0.01012724107520397
AVANTIFEED,19-09-2020,520.8189575020449,513.6004776641321,506.98216090262906,sell,1.2969683220943973,2.6925046785107503,1.3956582006317733
AXISBANK,19-09-2020,444.75459556067904,449.6062109706973,450.7821681387634,sell,0.26121109409012383,1.346136266518993,1.0849347097027697
BAJAJ-AUTO,19-09-2020,3006.4120416969345,2975.613846251575,2973.7611600603345,sell,0.06228170822229071,1.0919711030110466,1.029691145516637
BAJAJCON,19-09-2020,185.98019950614366,179.94947288984156,177.16695846320616,sell,1.5583233827090914,4.8538124831924785,3.2961123796356393
BAJAJELEC,19-09-2020,496.11148485927725,489.2341741961011,479.98555702573583,sell,1.9084665473547653,3.3041648814751974,1.3959183967521072
BAJAJFINSV,19-09-2020,6025.947474387009,6133.142123862016,6201.92357368105,sell,1.115218216190511,2.878278624337379,1.763201901077263
BAJAJHLDNG,19-09-2020,2524.94386416185,2537.0944912431205,2573.7124132662434,sell,1.432960497521994,1.9129961484281013,0.4800685505789118
BAJFINANCE,19-09-2020,3488.3538726309425,3504.6157031122166,3479.5236919921153,buy,0.7185426779336611,0.2534539551515462,0.46509084031145276
BALKRISIND,19-09-2020,1369.4744011716307,1344.1478538740703,1333.6182215253423,sell,0.7864490065404547,2.6529745481317177,1.8666229060045705
BALMLAWRIE,19-09-2020,115.41718902661032,116.62313518114684,116.43720680010988,sell,0.15955385584383275,0.87987788185986,1.0394280896252983
BALRAMCHIN,19-09-2020,156.63494876633052,153.80270768013528,150.55571080351154,sell,2.1336665453846817,3.9579575572588785,1.8246762448959877
BANDHANBNK,19-09-2020,303.05786221465064,304.7434481455294,306.3063933032461,sell,0.5115606131280741,1.0662033616771855,0.5546503115894484
BANKBARODA,19-09-2020,45.692761109925144,46.17575485633544,46.72250606931446,sell,1.1770967670032302,2.2285169773780487,1.0514891665120119
