symbol,NiftyMidcap150,NiftyMidcap400,Nifty500,NiftySmallcap50,NiftySmallcap250,NiftyMidcap50,Nifty200,NiftyNext50,Nifty100,Nifty50
CYIENT,False,True,True,True,True,False,False,False,False,False
DABUR,False,False,True,False,False,False,True,True,True,False
DALBHARAT,True,True,True,False,False,False,True,False,False,False
DBL,False,True,True,True,True,False,False,False,False,False
DCBBANK,False,True,True,False,True,False,False,False,False,False
DCMSHRIRAM,False,True,True,False,True,False,False,False,False,False
DEEPAKNTR,True,True,True,False,False,False,True,False,False,False
DELTACORP,False,True,True,False,True,False,False,False,False,False
DHANI,True,True,True,False,False,False,True,False,False,False
DHANUKA,False,True,True,False,True,False,False,False,False,False
DIVISLAB,False,False,True,False,False,False,True,False,True,True
DIXON,True,True,True,False,False,False,True,False,False,False
DLF,False,False,True,False,False,False,True,True,True,False
DMART,False,False,True,False,False,False,True,True,True,False
DRREDDY,False,False,True,False,False,False,True,False,True,True
ECLERX,False,True,True,False,True,False,False,False,False,False
EDELWEISS,False,True,True,False,True,False,False,False,False,False
EICHERMOT,False,False,True,False,False,False,True,False,True,True
EIDPARRY,False,True,True,False,True,False,False,False,False,False
EIHOTEL,False,True,True,False,True,False,False,False,False,False
ELGIEQUIP,False,True,True,False,True,False,False,False,False,False
EMAMILTD,True,True,True,False,False,False,True,False,False,False
ENDURANCE,True,True,True,False,False,False,True,False,False,False
ENGINERSIN,False,True,True,False,True,False,False,False,False,False
EPL,False,True,True,False,True,False,False,False,False,False
EQUITAS,False,True,True,False,True,False,False,False,False,False
EQUITASBNK,False,True,True,False,True,False,False,False,False,False
ERIS,False,True,True,False,True,False,False,False,False,False
ESCORTS,True,True,True,False,False,True,True,False,False,False
EXIDEIND,True,True,True,False,False,True,True,False,False,False
FACT,False,True,True,False,True,False,False,False,False,False
FDC,False,True,True,False,True,False,False,False,False,False
FEDERALBNK,True,True,True,False,False,True,True,False,False,False
FINCABLES,False,True,True,False,True,False,False,False,False,False
FINEORG,False,True,True,False,True,False,False,False,False,False
FINPIPE,False,True,True,False,True,False,False,False,False,False
FLUOROCHEM,False,True,True,False,True,False,False,False,False,False
FORTIS,True,True,True,False,False,False,True,False,False,False
FRETAIL,False,True,True,False,True,False,False,False,False,False
FSL,False,True,True,True,True,False,False,False,False,False
GAEL,False,True,True,False,True,False,False,False,False,False
GAIL,False,False,True,False,False,False,True,True,True,False
GALAXYSURF,False,True,True,False,True,False,False,False,False,False
GARFIBRES,False,True,True,False,True,False,False,False,False,False
GESHIP,False,True,True,False,True,False,False,False,False,False
GICRE,True,True,True,False,False,False,False,False,False,False
GILLETTE,True,True,True,False,False,False,False,False,False,False
GLAND,False,False,True,False,False,False,True,True,True,False
GLAXO,True,True,True,False,False,False,False,False,False,False
GLENMARK,True,True,True,False,False,True,True,False,False,False
GMMPFAUDLR,False,True,True,True,True,False,False,False,False,False
GNFC,False,True,True,False,True,False,False,False,False,False
GODFRYPHLP,False,True,True,False,True,False,False,False,False,False
GODREJAGRO,False,True,True,False,True,False,False,False,False,False
GODREJCP,False,False,True,False,False,False,True,True,True,False
GODREJIND,True,True,True,False,False,False,True,False,False,False
GODREJPROP,True,True,True,False,False,True,True,False,False,False
GPPL,False,True,True,False,True,False,False,False,False,False
GRANULES,False,True,True,True,True,False,False,False,False,False
GRAPHITE,False,True,True,True,True,False,False,False,False,False
GRASIM,False,False,True,False,False,False,True,False,True,True
GREAVESCOT,False,True,True,False,True,False,False,False,False,False
GRINDWELL,False,True,True,False,True,False,False,False,False,False
GSFC,False,True,True,False,True,False,False,False,False,False
GSPL,True,True,True,False,False,False,True,False,False,False
GUJALKALI,False,True,True,False,True,False,False,False,False,False
GUJGASLTD,True,True,True,False,False,True,True,False,False,False
HAL,True,True,True,False,False,True,True,False,False,False
HAPPSTMNDS,False,True,True,True,True,False,False,False,False,False
HATHWAY,False,True,True,False,True,False,False,False,False,False
HATSUN,True,True,True,False,False,False,False,False,False,False
HAVELLS,False,False,True,False,False,False,True,True,True,False
HCLTECH,False,False,True,False,False,False,True,False,True,True
HDFC,False,False,True,False,False,False,True,False,True,True
HDFCAMC,False,False,True,False,False,False,True,True,True,False
HDFCBANK,False,False,True,False,False,False,True,False,True,True
HDFCLIFE,False,False,True,False,False,False,True,False,True,True
HEG,False,True,True,True,True,False,False,False,False,False
HEIDELBERG,False,True,True,False,True,False,False,False,False,False
HEMIPROP,False,True,True,False,True,False,False,False,False,False
HEROMOTOCO,False,False,True,False,False,False,True,False,True,True
HFCL,False,True,True,False,True,False,False,False,False,False
HGS,False,True,True,False,True,False,False,False,False,False
HIKAL,False,True,True,False,True,False,False,False,False,False
HINDALCO,False,False,True,False,False,False,True,False,True,True
HINDCOPPER,True,True,True,False,False,False,True,False,False,False
HINDPETRO,False,False,True,False,False,False,True,True,True,False
HINDUNILVR,False,False,True,False,False,False,True,False,True,True
HINDZINC,True,True,True,False,False,False,True,False,False,False
HOMEFIRST,False,True,True,False,True,False,False,False,False,False
HONAUT,True,True,True,False,False,False,False,False,False,False
HUDCO,False,True,True,False,True,False,False,False,False,False
IBREALEST,False,True,True,False,True,False,False,False,False,False
IBULHSGFIN,False,True,True,True,True,False,False,False,False,False
ICICIBANK,False,False,True,False,False,False,True,False,True,True
ICICIGI,False,False,True,False,False,False,True,True,True,False
ICICIPRULI,False,False,True,False,False,False,True,True,True,False
ICIL,False,True,True,False,True,False,False,False,False,False
IDBI,False,True,True,True,True,False,False,False,False,False
IDEA,True,True,True,False,False,True,True,False,False,False
IDFC,False,True,True,True,True,False,False,False,False,False
IDFCFIRSTB,True,True,True,False,False,True,True,False,False,False
IEX,False,True,True,True,True,False,False,False,False,False
IFBIND,False,True,True,False,True,False,False,False,False,False
IGL,False,False,True,False,False,False,True,True,True,False
IIFL,False,True,True,False,True,False,False,False,False,False
IIFLWAM,False,True,True,False,True,False,False,False,False,False
INDHOTEL,True,True,True,False,False,False,True,False,False,False
INDIACEM,False,True,True,False,True,False,False,False,False,False
INDIAMART,True,True,True,False,False,False,True,False,False,False
INDIANB,True,True,True,False,False,False,True,False,False,False
INDIGO,False,False,True,False,False,False,True,True,True,False
INDIGOPNTS,False,True,True,True,True,False,False,False,False,False
INDOCO,False,True,True,False,True,False,False,False,False,False
INDUSINDBK,False,False,True,False,False,False,True,False,True,True
INDUSTOWER,False,False,True,False,False,False,True,True,True,False
INFIBEAM,False,True,True,False,True,False,False,False,False,False
INFY,False,False,True,False,False,False,True,False,True,True
INGERRAND,False,True,True,False,True,False,False,False,False,False
INOXLEISUR,False,True,True,False,True,False,False,False,False,False
INTELLECT,False,True,True,True,True,False,False,False,False,False
IOB,False,True,True,True,True,False,False,False,False,False
IOC,False,False,True,False,False,False,True,False,True,True
IOLCP,False,True,True,False,True,False,False,False,False,False
IPCALAB,True,True,True,False,False,False,True,False,False,False
IRB,False,True,True,False,True,False,False,False,False,False
IRCON,False,True,True,False,True,False,False,False,False,False
IRCTC,True,True,True,False,False,True,True,False,False,False
IRFC,True,True,True,False,False,False,True,False,False,False
ISEC,True,True,True,False,False,False,True,False,False,False
ITC,False,False,True,False,False,False,True,False,True,True
ITI,True,True,True,False,False,False,False,False,False,False
JAMNAAUTO,False,True,True,False,True,False,False,False,False,False
JBCHEPHARM,False,True,True,True,True,False,False,False,False,False
JCHAC,False,True,True,False,True,False,False,False,False,False
JINDALSAW,False,True,True,False,True,False,False,False,False,False
JINDALSTEL,False,False,True,False,False,False,True,True,True,False
JKCEMENT,True,True,True,False,False,False,False,False,False,False
JKLAKSHMI,False,True,True,False,True,False,False,False,False,False
JKPAPER,False,True,True,False,True,False,False,False,False,False
JKTYRE,False,True,True,False,True,False,False,False,False,False
JMFINANCIL,False,True,True,False,True,False,False,False,False,False
JSL,False,True,True,False,True,False,False,False,False,False
JSLHISAR,False,True,True,False,True,False,False,False,False,False
JSWENERGY,True,True,True,False,False,False,True,False,False,False
JSWSTEEL,False,False,True,False,False,False,True,False,True,True
JUBLFOOD,False,False,True,False,False,False,True,True,True,False
JUBLINGREA,False,True,True,True,True,False,False,False,False,False
JUBLPHARMA,False,True,True,False,True,False,False,False,False,False
JUSTDIAL,False,True,True,False,True,False,False,False,False,False
JYOTHYLAB,False,True,True,False,True,False,False,False,False,False
KAJARIACER,True,True,True,False,False,False,False,False,False,False
KALPATPOWR,False,True,True,False,True,False,False,False,False,False
KALYANKJIL,False,True,True,False,True,False,False,False,False,False
KANSAINER,True,True,True,False,False,False,False,False,False,False
KARURVYSYA,False,True,True,False,True,False,False,False,False,False
KEC,False,True,True,False,True,False,False,False,False,False
KEI,False,True,True,False,True,False,False,False,False,False
KNRCON,False,True,True,False,True,False,False,False,False,False
KOTAKBANK,False,False,True,False,False,False,True,False,True,True
KPITTECH,False,True,True,False,True,False,False,False,False,False
KPRMILL,False,True,True,False,True,False,False,False,False,False
KRBL,False,True,True,False,True,False,False,False,False,False
KSB,False,True,True,False,True,False,False,False,False,False
KSCL,False,True,True,False,True,False,False,False,False,False
L&TFH,True,True,True,False,False,True,True,False,False,False
LALPATHLAB,True,True,True,False,False,False,True,False,False,False
LAOPALA,False,True,True,False,True,False,False,False,False,False
LAURUSLABS,True,True,True,False,False,False,True,False,False,False
LAXMIMACH,False,True,True,False,True,False,False,False,False,False
LEMONTREE,False,True,True,False,True,False,False,False,False,False
LICHSGFIN,True,True,True,False,False,True,True,False,False,False
LINDEINDIA,True,True,True,False,False,False,False,False,False,False
LODHA,True,True,True,False,False,False,False,False,False,False
LT,False,False,True,False,False,False,True,False,True,True
LTI,False,False,True,False,False,False,True,True,True,False
LTTS,True,True,True,False,False,True,True,False,False,False
LUPIN,False,False,True,False,False,False,True,True,True,False
LUXIND,False,True,True,False,True,False,False,False,False,False
LXCHEM,False,True,True,False,True,False,False,False,False,False
M&M,False,False,True,False,False,False,True,False,True,True
