company,ema50,ema200,ratio,outcome,action,longName,price,regularMarketVolume,marketCap,bookValue,priceToBook,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh
KARURVYSYA,35.46852891597632,39.31996919393048,10.299552405222007,far away,sell,The Karur Vysya Bank Limited,35.8,1804674,28615692288,82.799,0.43237233,3714116,947369,17.05,0.9093333,18.75 - 64.65,-28.850002,-0.44624907,18.75,64.65
KEC,306.25011525143555,276.7422658018631,10.12289368044924,far away,buy,KEC International Limited,337.85,1965796,86744678400,108.818,3.1047254,441237,422938,183.8,1.1931192,154.05 - 359.5,-21.649994,-0.060222514,154.05,359.5
KEI,373.5099135027062,384.31838448377243,2.8524854534421458,far away,sell,KEI Industries Limited,372.55,196221,33484679168,168.395,2.2123578,338429,272718,164.24998,0.78852606,208.3 - 614.65,-242.10004,-0.39388275,208.3,614.65
KNRCON,239.33659927331922,230.12296812568863,3.9252075311523695,far away,buy,KNR Constructions Limited,269.95,130891,37945253888,110.949,2.4331,257512,212043,98.95001,0.57865506,171.0 - 311.8,-41.849976,-0.13422059,171.0,311.8
KOLTEPATIL,163.63663670005704,179.19364915054538,9.07563485057311,far away,sell,Kolte-Patil Developers Limited,166.55,71739,12685347840,119.234,1.3968332,206735,63077,63.550003,0.6169903,103.0 - 287.7,-121.15001,-0.42109838,103.0,287.7
KOTAKBANK,1347.8952858455757,1384.8931109753344,2.707697761948839,far away,sell,Kotak Mahindra Bank Limited,1277.1,6528339,2527649071104,348.331,3.6663404,4401900,3678509,276.09998,0.27582416,1001.0 - 1740.0,-462.90002,-0.26603448,1001.0,1740.0
KPITTECH,81.00228419287386,74.58482359090713,8.249347511344002,far away,buy,KPIT Technologies Limited,107.7,3333020,28902907904,38.906,2.7682106,771138,1422284,73.35,2.1353712,34.35 - 114.5,-6.800003,-0.059388675,34.35,114.5
KPRMILL,536.1160907985897,523.1115397504556,2.455478062141043,far away,buy,K.P.R. Mill Limited,636.9,43836,43774648320,271.198,2.3484688,49299,120842,324.55002,1.0390588,312.35 - 715.0,-78.099976,-0.109230734,312.35,715.0
KRBL,267.4285500151023,250.04572620888192,6.718333492077345,far away,buy,KRBL Limited,278.75,157088,65603256320,132.895,2.0975206,492848,292190,186.75,2.0298913,92.0 - 339.0,-60.25,-0.17772861,92.0,339.0
KSB,519.8932658977911,551.2906183187303,5.862177891875879,far away,sell,KSB Limited,525.65,7636,18276009984,243.483,2.1588776,33030,18621,139.65002,0.36178762,386.0 - 764.0,-238.34998,-0.3119764,386.0,764.0
